id,ingrediente_a,ingrediente_b,resultado
r168,glass,plank,window
r169,beam,hinge,ladder
r170,plank,bark,fence
r171,stone_block,mortar,stone_wall
r172,brick,mortar,brick_wall
r173,plank,brick,wood_floor
r174,beam,brick,roof
r175,stone_block,brick,stone_pillar
r176,stone_pillar,stone_block,stone_arch
r177,beam,chain,wood_bridge
r178,stone_arch,mortar,stone_bridge
r179,wood_wheel,wood_crate,cart
r180,wood_wheel,wood_bucket,wheelbarrow
r181,beam,plant_fiber,raft
r182,plank,flint_knife,oar
r183,plank,oar,boat
r184,fabric,beam,sail
r185,iron_ingot,rope,anchor
r186,leather,fabric,backpack
r187,leather,glass_bottle,canteen
r188,fabric,rope,sack
r189,fabric,stick,tent
r190,fabric,sack,bedroll
r191,flint,steel,firestarter
r192,leather,nail,repair_kit
r193,rope,tongs,grappling_rope
r194,magnifying_glass,metal_pipe,spyglass
r195,lantern,metal_plate,explorer_lantern
r196,glass,magnifying_glass,polished_lens
r197,glass,quartz,prism
r198,iron_ingot,copper,magnet
r199,wire,iron_ingot,copper_coil
r200,spring,bronze,precision_spring
r201,gear,bronze,precision_gear
r202,precision_gear,precision_spring,clockwork
r203,wire,fabric,cable
r204,clay,glass,insulator
r205,lever,cable,switch
r206,copper_ingot,alcohol,primitive_battery
r207,copper_coil,crank,dynamo
r208,copper_coil,magnet,simple_motor
r209,glass,wire,bulb
r210,bulb,switch,electric_lamp
r211,glass,copper_coil,fuse
r212,copper_ingot,insulator,connector
r213,switch,fuse,electric_panel
r214,dynamo,advanced_mechanism,generator
r215,copper_coil,iron_ingot,electromagnet
r216,glass,alcohol,thermometer
r217,clockwork,glass,barometer
r218,polished_lens,clockwork,microscope
r219,polished_lens,spyglass,telescope
r220,bronze,chain,balance
r221,glass,ruler,graduated_cylinder
r222,glass,tongs,flask
r223,copper_ingot,flask,distiller
r224,salt,alcohol,reagent
r225,flask,magnifying_glass,science_kit
r226,steel,bronze,advanced_alloy
r227,quartz,prism,optical_glass
r228,clockwork,precision_gear,precision_mechanism
r229,simple_motor,precision_mechanism,advanced_motor
r230,primitive_battery,metal_plate,accumulator
r231,advanced_motor,generator,complex_machine
r232,complex_machine,optical_glass,tech_core
